fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.8;0.67;0.02;1.8;0.05;5.0;11.0;0.9962;3.48;0.52;9.5;0
4.6;0.52;0.15;2.1;0.054000000000000006;8.0;65.0;0.9934;3.6559730465252054;0.56;13.1;0
7.7;0.935;0.43;2.2;0.114;22.0;101.5;0.997;3.25;0.73;9.2;0
8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9969;3.25;0.58;9.5;0
6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9958;3.34;0.56;9.2;0
5.6;0.31;0.37;1.4;0.07400000000000001;12.0;96.0;0.9954;3.32;0.58;9.2;0
8.8;0.66;0.26;1.7;0.07400000000000001;4.0;23.0;0.9971;3.15;0.74;9.2;0
6.6;0.52;0.04;2.2;0.069;8.0;15.0;0.9956;3.4;0.63;9.4;0
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;9.4;0
8.6;0.38;0.36;3.0;0.081;30.0;101.5;0.997;3.2;0.56;9.4;0
7.6;0.51;0.15;2.8;0.11;33.0;73.0;0.9955;3.17;0.63;10.2;0
7.7;0.62;0.04;3.6917619112377773;0.084;25.0;45.0;0.9978;3.34;0.53;9.5;0
10.2;0.42;0.57;3.4;0.07;4.0;10.0;0.9971;3.04;0.63;9.6;0
7.5;0.63;0.12;3.6917619112377773;0.111;39.77518795919791;101.5;0.9983;3.26;0.77;9.4;0
7.8;0.59;0.18;2.3;0.076;17.0;54.0;0.9975;3.43;0.59;10.0;0
7.3;0.39;0.31;2.4;0.07400000000000001;9.0;46.0;0.9962;3.41;0.54;9.4;0
8.8;0.4;0.4;2.2;0.079;19.0;52.0;0.998;3.44;0.64;9.2;0
7.7;0.69;0.49;1.8;0.115;20.0;101.5;0.9968;3.21;0.71;9.3;0
7.5;0.52;0.16;1.9;0.085;12.0;35.0;0.9968;3.38;0.62;9.5;1
7.0;0.735;0.05;2.0;0.081;13.0;54.0;0.9966;3.39;0.57;9.8;0
7.2;0.725;0.05;3.6917619112377773;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;0
7.2;0.725;0.05;3.6917619112377773;0.086;4.0;11.0;0.9962;3.41;0.39;10.9;0
7.5;0.52;0.11;1.5;0.079;11.0;39.0;0.9968;3.42;0.58;9.6;0
6.6;0.705;0.07;1.6;0.076;6.0;15.0;0.9962;3.44;0.58;10.7;0
9.3;0.32;0.57;2.0;0.07400000000000001;27.0;65.0;0.9969;3.28;0.79;10.7;0
8.0;0.705;0.05;1.9;0.07400000000000001;8.0;19.0;0.9962;3.34;0.95;10.5;0
7.7;0.63;0.08;1.9;0.076;15.0;27.0;0.9967;3.32;0.54;9.5;0
7.7;0.67;0.23;2.1;0.08800000000000001;17.0;96.0;0.9962;3.32;0.48;9.5;0
7.7;0.69;0.22;1.9;0.084;18.0;94.0;0.9961;3.31;0.48;9.5;0
8.3;0.675;0.26;2.1;0.084;11.0;43.0;0.9976;3.31;0.53;9.2;0
9.7;0.32;0.54;2.5;0.094;28.0;83.0;0.9984;3.28;0.82;9.6;0
8.8;0.41;0.64;2.2;0.09300000000000001;9.0;42.0;0.9986;3.54;0.66;10.5;0
8.8;0.41;0.64;2.2;0.09300000000000001;9.0;42.0;0.9986;3.54;0.66;10.5;0
6.8;0.785;0.0;2.4;0.10400000000000001;14.0;30.0;0.9966;3.52;0.55;10.7;0
6.7;0.75;0.12;2.0;0.086;12.0;80.0;0.9958;3.38;0.52;10.1;0
8.3;0.625;0.2;1.5;0.08;27.0;101.5;0.9972;3.16;1.0650000000000002;9.1;0
6.2;0.45;0.2;1.6;0.069;3.0;15.0;0.9958;3.41;0.56;9.2;0
7.8;0.43;0.7;1.9;0.11809664784940449;22.0;67.0;0.9974;3.13;1.0650000000000002;9.4;0
7.4;0.5;0.47;2.0;0.086;21.0;73.0;0.997;3.36;0.57;9.1;0
7.3;0.67;0.26;1.8;0.11809664784940449;16.0;51.0;0.9969;3.16;1.0650000000000002;9.4;0
6.3;0.3;0.48;1.8;0.069;18.0;61.0;0.9959;3.44;0.78;10.3;0
6.9;0.55;0.15;2.2;0.076;19.0;40.0;0.9961;3.41;0.59;10.1;0
8.6;0.49;0.28;1.9;0.11;20.0;101.5;0.9972;2.9387617742370216;1.0650000000000002;9.9;0
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;0
9.3;0.39;0.44;2.1;0.107;34.0;101.5;0.9978;3.14;1.0650000000000002;9.5;0
7.0;0.62;0.08;1.8;0.076;8.0;24.0;0.9978;3.48;0.53;9.0;0
7.9;0.52;0.26;1.9;0.079;39.77518795919791;101.5;0.9964;3.23;0.54;9.5;0
8.6;0.49;0.28;1.9;0.11;20.0;101.5;0.9972;2.9387617742370216;1.0650000000000002;9.9;0
8.6;0.49;0.29;2.0;0.11;19.0;101.5;0.9972;2.9387617742370216;1.0650000000000002;9.8;0
7.7;0.49;0.26;1.9;0.062;9.0;31.0;0.9966;3.39;0.64;9.6;0
5.0;0.9605402158181046;0.04;1.4;0.045;39.77518795919791;85.0;0.9938;3.6559730465252054;0.48;10.5;0
4.7;0.6;0.17;2.3;0.057999999999999996;17.0;101.5;0.9932;3.6559730465252054;0.6;12.9;0
6.8;0.775;0.0;3.0;0.102;8.0;23.0;0.9965;3.45;0.56;10.7;0
7.0;0.5;0.25;2.0;0.07;3.0;22.0;0.9963;3.25;0.63;9.2;0
7.6;0.9;0.06;2.5;0.079;5.0;10.0;0.9967;3.39;0.56;9.8;0
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.3;0.59;9.0;0
8.3;0.61;0.3;2.1;0.084;11.0;50.0;0.9972;3.4;0.61;10.2;0
7.8;0.5;0.3;1.9;0.075;8.0;22.0;0.9959;3.31;0.56;10.4;0
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9972;3.3;0.59;9.0;0
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;0
7.2;0.49;0.24;2.2;0.07;5.0;36.0;0.996;3.33;0.48;9.4;0
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9967;3.29;0.51;9.2;0
7.8;0.41;0.68;1.7;0.11809664784940449;18.0;69.0;0.9973;3.08;1.0650000000000002;9.3;0
6.2;0.63;0.31;1.7;0.08800000000000001;15.0;64.0;0.9969;3.46;0.79;9.3;0
8.0;0.33;0.53;2.5;0.091;18.0;80.0;0.9976;3.37;0.8;9.6;0
8.1;0.785;0.52;2.0;0.11809664784940449;37.0;101.5;0.9969;3.21;0.69;9.3;0
7.8;0.56;0.19;1.8;0.10400000000000001;12.0;47.0;0.9964;3.19;0.93;9.5;0
8.4;0.62;0.09;2.2;0.084;11.0;101.5;0.9964;3.15;0.66;9.8;0
8.4;0.6;0.1;2.2;0.085;14.0;101.5;0.9964;3.15;0.66;9.8;0
10.1;0.31;0.44;2.3;0.08;22.0;46.0;0.9988;3.32;0.67;9.7;0
7.8;0.56;0.19;1.8;0.10400000000000001;12.0;47.0;0.9964;3.19;0.93;9.5;0
9.4;0.4;0.31;2.2;0.09;13.0;62.0;0.9966;3.07;0.63;10.5;0
8.3;0.54;0.28;1.9;0.077;11.0;40.0;0.9978;3.39;0.61;10.0;0
7.8;0.56;0.12;2.0;0.08199999999999999;7.0;28.0;0.997;3.37;0.5;9.4;0
8.8;0.55;0.04;2.2;0.11809664784940449;14.0;56.0;0.9962;3.21;0.6;10.9;0
7.0;0.69;0.08;1.8;0.09699999999999999;22.0;89.0;0.9959;3.34;0.54;9.2;0
7.3;0.9605402158181046;0.09;1.7;0.11809664784940449;10.0;89.0;0.9962;3.3;0.57;9.0;0
8.8;0.55;0.04;2.2;0.11809664784940449;14.0;56.0;0.9962;3.21;0.6;10.9;0
7.3;0.695;0.0;2.5;0.075;3.0;13.0;0.998;3.49;0.52;9.2;0
8.0;0.71;0.0;2.6;0.08;11.0;34.0;0.9976;3.44;0.53;9.5;0
7.8;0.5;0.17;1.6;0.08199999999999999;21.0;101.5;0.996;3.39;0.48;9.5;0
9.0;0.62;0.04;1.9;0.11809664784940449;27.0;90.0;0.9984;3.16;0.7;9.4;0
8.2;0.9605402158181046;0.0;1.7;0.081;3.0;12.0;0.9964;3.53;0.49;10.9;0
8.1;0.9605402158181046;0.0;1.8;0.08199999999999999;3.0;12.0;0.9964;3.54;0.48;10.9;0
8.0;0.59;0.16;1.8;0.065;3.0;16.0;0.9962;3.42;0.92;10.5;1
6.1;0.38;0.15;1.8;0.07200000000000001;6.0;19.0;0.9955;3.42;0.57;9.4;0
8.0;0.745;0.56;2.0;0.11800000000000001;30.0;101.5;0.9968;3.24;0.66;9.4;0
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;0
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9937;3.63;0.63;13.0;0
6.6;0.5;0.01;1.5;0.06;17.0;26.0;0.9952;3.4;0.58;9.8;0
7.9;0.9605402158181046;0.05;2.2;0.084;13.0;29.0;0.9959;3.22;0.55;9.9;0
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;0
8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5;0
7.2;0.415;0.36;2.0;0.081;13.0;45.0;0.9972;3.48;0.64;9.2;0
7.8;0.56;0.19;2.1;0.081;15.0;101.5;0.9962;3.33;0.54;9.5;0
7.8;0.56;0.19;2.0;0.081;17.0;101.5;0.9962;3.32;0.54;9.5;0
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9965;3.19;0.82;9.6;0
8.3;0.715;0.15;1.8;0.08900000000000001;10.0;52.0;0.9968;3.23;0.77;9.5;0
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9916;3.6559730465252054;0.79;14.0;0
6.3;0.39;0.08;1.7;0.066;3.0;20.0;0.9954;3.34;0.58;9.4;0
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9916;3.6559730465252054;0.79;14.0;0
8.1;0.67;0.55;1.8;0.11699999999999999;32.0;101.5;0.9968;3.17;0.62;9.4;0
5.8;0.68;0.02;1.8;0.087;21.0;94.0;0.9944;3.54;0.52;10.0;0
7.6;0.49;0.26;1.6;0.11809664784940449;10.0;88.0;0.9968;3.11;0.8;9.3;0
6.9;0.49;0.1;2.3;0.07400000000000001;12.0;30.0;0.9959;3.42;0.58;10.2;0
8.2;0.4;0.44;2.8;0.08900000000000001;11.0;43.0;0.9975;3.53;0.61;10.5;0
7.3;0.33;0.47;2.1;0.077;5.0;11.0;0.9958;3.33;0.53;10.3;0
9.2;0.52;0.9387860457822288;3.4;0.11809664784940449;32.0;69.0;0.9996;2.9387617742370216;1.0650000000000002;9.4;0
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;0
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.995;3.35;0.54;10.1;0
7.1;0.43;0.42;3.6917619112377773;0.07;29.0;101.5;0.9973;3.42;0.72;10.5;0
7.1;0.43;0.42;3.6917619112377773;0.071;28.0;101.5;0.9973;3.42;0.71;10.5;0
7.1;0.43;0.42;3.6917619112377773;0.07;29.0;101.5;0.9973;3.42;0.72;10.5;0
7.1;0.43;0.42;3.6917619112377773;0.071;28.0;101.5;0.9973;3.42;0.71;10.5;0
7.1;0.68;0.0;2.2;0.073;12.0;22.0;0.9969;3.48;0.5;9.3;0
6.8;0.6;0.18;1.9;0.079;18.0;86.0;0.9968;3.59;0.57;9.3;0
7.6;0.95;0.03;2.0;0.09;7.0;20.0;0.9959;3.2;0.56;9.6;0
7.6;0.68;0.02;1.3;0.07200000000000001;9.0;20.0;0.9965;3.17;1.0650000000000002;9.2;0
7.8;0.53;0.04;1.7;0.076;17.0;31.0;0.9964;3.33;0.56;10.0;0
7.4;0.6;0.26;3.6917619112377773;0.07;36.0;101.5;0.9982;3.37;0.49;9.4;0
7.3;0.59;0.26;3.6917619112377773;0.07;35.0;101.5;0.9981;3.37;0.49;9.4;0
7.8;0.63;0.48;1.7;0.1;14.0;96.0;0.9961;3.19;0.62;9.5;0
6.8;0.64;0.1;2.1;0.085;18.0;101.0;0.9956;3.34;0.52;10.2;0
7.3;0.55;0.03;1.6;0.07200000000000001;17.0;42.0;0.9956;3.37;0.48;9.0;0
6.8;0.63;0.07;2.1;0.08900000000000001;11.0;44.0;0.9953;3.47;0.55;10.4;0
7.5;0.705;0.24;1.8;0.11809664784940449;15.0;63.0;0.9964;3.0;1.0650000000000002;9.5;0
7.9;0.885;0.03;1.8;0.057999999999999996;4.0;8.0;0.9972;3.36;0.33;9.1;0
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;0
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9972;3.29;0.61;9.2;0
7.4;0.62;0.05;1.9;0.068;24.0;42.0;0.9961;3.42;0.57;11.5;0
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.33;0.47;9.5;0
6.9;0.5;0.04;1.5;0.085;19.0;49.0;0.9958;3.35;0.78;9.5;0
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9961;3.33;0.47;9.5;0
7.5;0.52;0.42;2.3;0.087;8.0;38.0;0.9972;3.58;0.61;10.5;0
7.0;0.805;0.0;2.5;0.068;7.0;20.0;0.9969;3.48;0.56;9.6;0
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;0
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9969;3.19;0.59;9.5;0
8.9;0.61;0.49;2.0;0.11809664784940449;23.0;101.5;0.9972;3.12;1.02;9.3;0
7.2;0.73;0.02;2.5;0.076;16.0;42.0;0.9972;3.44;0.52;9.3;0
6.8;0.61;0.2;1.8;0.077;11.0;65.0;0.9971;3.54;0.58;9.3;0
6.7;0.62;0.21;1.9;0.079;8.0;62.0;0.997;3.52;0.58;9.3;0
8.9;0.31;0.57;2.0;0.111;26.0;85.0;0.9971;3.26;0.53;9.7;0
7.4;0.39;0.48;2.0;0.08199999999999999;14.0;67.0;0.9972;3.34;0.55;9.2;0
7.7;0.705;0.1;2.6;0.084;9.0;26.0;0.9976;3.39;0.49;9.7;0
7.9;0.5;0.33;2.0;0.084;15.0;101.5;0.9968;3.2;0.55;9.5;0
7.9;0.49;0.32;1.9;0.08199999999999999;17.0;101.5;0.9968;3.2;0.55;9.5;0
8.2;0.5;0.35;2.9;0.077;21.0;101.5;0.9976;3.23;0.62;9.4;0
6.4;0.37;0.25;1.9;0.07400000000000001;21.0;49.0;0.9974;3.57;0.62;9.8;0
6.8;0.63;0.12;3.6917619112377773;0.099;16.0;101.5;0.9969;3.28;0.61;9.5;0
7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.28;0.55;9.7;0
7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9964;3.28;0.55;9.7;0
7.8;0.59;0.33;2.0;0.07400000000000001;24.0;101.5;0.9968;3.25;0.54;9.4;0
7.3;0.58;0.3;2.4;0.07400000000000001;15.0;55.0;0.9968;3.46;0.59;10.2;0
11.5;0.3;0.6;2.0;0.067;12.0;27.0;0.9981;3.11;0.97;10.1;0
5.4;0.835;0.08;1.2;0.046;13.0;93.0;0.9924;3.57;0.85;13.0;1
6.9;0.9605402158181046;0.06;2.1;0.061;12.0;31.0;0.9948;3.51;0.43;11.4;0
9.6;0.32;0.47;1.4;0.055999999999999994;9.0;24.0;0.99695;3.22;0.82;10.3;1
8.8;0.37;0.48;2.1;0.09699999999999999;39.0;101.5;0.9975;3.04;1.03;9.3;0
6.8;0.5;0.11;1.5;0.075;16.0;49.0;0.99545;3.36;0.79;9.5;0
7.0;0.42;0.35;1.6;0.08800000000000001;16.0;39.0;0.9961;3.34;0.55;9.2;0
7.0;0.43;0.36;1.6;0.08900000000000001;14.0;37.0;0.99615;3.34;0.56;9.2;0
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.2;0.77;10.8;1
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9994;3.2;0.77;10.8;1
7.8;0.57;0.31;1.8;0.069;26.0;101.5;0.99625;3.29;0.53;9.3;0
7.8;0.44;0.28;2.7;0.1;18.0;95.0;0.9966;3.22;0.67;9.4;0
11.0;0.3;0.58;2.1;0.054000000000000006;7.0;19.0;0.998;3.31;0.88;10.5;1
9.7;0.53;0.6;2.0;0.039;5.0;19.0;0.99585;3.3;0.86;12.4;0
8.0;0.725;0.24;2.8;0.083;10.0;62.0;0.99685;3.35;0.56;10.0;0
11.6;0.44;0.64;2.1;0.059000000000000004;5.0;15.0;0.998;3.21;0.67;10.2;0
8.2;0.57;0.26;2.2;0.06;28.0;65.0;0.9959;3.3;0.43;10.1;0
7.8;0.735;0.08;2.4;0.092;10.0;41.0;0.9974;3.24;0.71;9.8;0
7.0;0.49;0.49;3.6917619112377773;0.06;26.0;101.5;0.9974;3.34;0.76;10.5;0
8.7;0.625;0.16;2.0;0.10099999999999999;13.0;49.0;0.9962;3.14;0.57;11.0;0
8.1;0.725;0.22;2.2;0.07200000000000001;11.0;41.0;0.9967;3.36;0.55;9.1;0
7.5;0.49;0.19;1.9;0.076;10.0;44.0;0.9957;3.39;0.54;9.7;0
7.8;0.53;0.33;2.4;0.08;24.0;101.5;0.99655;3.3;0.6;9.5;0
7.8;0.34;0.37;2.0;0.08199999999999999;24.0;58.0;0.9964;3.34;0.59;9.4;0
7.4;0.53;0.26;2.0;0.10099999999999999;16.0;72.0;0.9957;3.15;0.57;9.4;0
6.8;0.61;0.04;1.5;0.057;5.0;10.0;0.99525;3.42;0.6;9.5;0
8.6;0.645;0.25;2.0;0.083;8.0;28.0;0.99815;3.28;0.6;10.0;0
8.4;0.635;0.36;2.0;0.08900000000000001;15.0;55.0;0.99745;3.31;0.57;10.4;0
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.37;0.58;10.5;0
8.9;0.59;0.5;2.0;0.11809664784940449;27.0;81.0;0.9964;3.04;1.0650000000000002;9.5;0
9.0;0.82;0.14;2.6;0.08900000000000001;9.0;23.0;0.9984;3.39;0.63;9.8;0
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.99615;3.37;0.58;10.5;0
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;0
5.2;0.48;0.04;1.6;0.054000000000000006;19.0;101.5;0.9927;3.54;0.62;12.2;1
8.0;0.38;0.06;1.8;0.078;12.0;49.0;0.99625;3.37;0.52;9.9;0
8.5;0.37;0.2;2.8;0.09;18.0;58.0;0.998;3.34;0.7;9.6;0
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.99685;3.46;0.5;11.0;0
8.2;0.9605402158181046;0.09;2.3;0.065;7.0;37.0;0.99685;3.32;0.55;9.0;0
7.2;0.63;0.0;1.9;0.09699999999999999;14.0;38.0;0.99675;3.37;0.58;9.0;0
7.2;0.63;0.0;1.9;0.09699999999999999;14.0;38.0;0.99675;3.37;0.58;9.0;0
7.2;0.645;0.0;1.9;0.09699999999999999;15.0;39.0;0.99675;3.37;0.58;9.2;0
7.2;0.63;0.0;1.9;0.09699999999999999;14.0;38.0;0.99675;3.37;0.58;9.0;0
8.2;0.9605402158181046;0.09;2.3;0.065;7.0;37.0;0.99685;3.32;0.55;9.0;0
8.9;0.635;0.37;1.7;0.11809664784940449;5.0;62.0;0.9971;3.0;1.0650000000000002;9.3;0
12.0;0.38;0.56;2.1;0.09300000000000001;6.0;24.0;0.99925;3.14;0.71;10.9;0
7.7;0.58;0.1;1.8;0.102;28.0;101.5;0.99565;3.08;0.49;9.8;0
13.40367982833066;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.07;0.84;9.2;1
13.40367982833066;0.21;0.44;2.2;0.075;10.0;24.0;1.00005;3.07;0.84;9.2;1
7.3;0.66;0.0;2.0;0.084;6.0;23.0;0.9983;3.61;0.96;9.9;0
7.1;0.68;0.07;1.9;0.075;16.0;51.0;0.99685;3.38;0.52;9.5;0
8.2;0.6;0.17;2.3;0.07200000000000001;11.0;73.0;0.9963;3.2;0.45;9.3;0
7.7;0.53;0.06;1.7;0.07400000000000001;9.0;39.0;0.99615;3.35;0.48;9.8;0
7.3;0.66;0.0;2.0;0.084;6.0;23.0;0.9983;3.61;0.96;9.9;0
10.8;0.32;0.44;1.6;0.063;16.0;37.0;0.9985;3.22;0.78;10.0;0
7.1;0.6;0.0;1.8;0.07400000000000001;16.0;34.0;0.9972;3.47;0.7;9.9;0
11.1;0.35;0.48;3.1;0.09;5.0;21.0;0.9986;3.17;0.53;10.5;0
7.7;0.775;0.42;1.9;0.092;8.0;86.0;0.9959;3.23;0.59;9.5;0
7.1;0.6;0.0;1.8;0.07400000000000001;16.0;34.0;0.9972;3.47;0.7;9.9;0
8.0;0.57;0.23;3.2;0.073;17.0;101.5;0.99675;3.26;0.57;9.3;0
9.4;0.34;0.37;2.2;0.075;5.0;13.0;0.998;3.22;0.62;9.2;0
6.6;0.695;0.0;2.1;0.075;12.0;56.0;0.9968;3.49;0.67;9.2;0
7.7;0.41;0.76;1.8;0.11809664784940449;8.0;45.0;0.9968;3.06;1.0650000000000002;9.4;0
10.0;0.31;0.47;2.6;0.085;14.0;33.0;0.99965;3.36;0.8;10.5;1
7.9;0.33;0.23;1.7;0.077;18.0;45.0;0.99625;3.29;0.65;9.3;0
7.0;0.9605402158181046;0.04;2.0;0.087;12.0;67.0;0.99565;3.35;0.6;9.4;0
8.0;0.52;0.03;1.7;0.07;10.0;35.0;0.99575;3.34;0.57;10.0;0
7.9;0.37;0.23;1.8;0.077;23.0;49.0;0.9963;3.28;0.67;9.3;0
12.5;0.56;0.49;2.4;0.064;5.0;27.0;0.9999;3.08;0.87;10.9;0
11.8;0.26;0.52;1.8;0.071;6.0;10.0;0.9968;3.2;0.72;10.2;1
8.1;0.87;0.0;3.3;0.096;26.0;61.0;1.00025;3.6;0.72;9.8;0
7.9;0.35;0.46;3.6;0.078;15.0;37.0;0.9973;3.35;0.86;12.8;1
6.9;0.54;0.04;3.0;0.077;7.0;27.0;0.9987;3.6559730465252054;0.91;9.4;0
11.5;0.18;0.51;3.6917619112377773;0.10400000000000001;4.0;23.0;0.9996;3.28;0.97;10.1;0
7.9;0.545;0.06;3.6917619112377773;0.087;27.0;61.0;0.9965;3.36;0.67;10.7;0
11.5;0.18;0.51;3.6917619112377773;0.10400000000000001;4.0;23.0;0.9996;3.28;0.97;10.1;0
10.9;0.37;0.58;3.6917619112377773;0.071;17.0;65.0;0.99935;3.22;0.78;10.1;0
8.4;0.715;0.2;2.4;0.076;10.0;38.0;0.99735;3.31;0.64;9.4;0
7.5;0.65;0.18;3.6917619112377773;0.08800000000000001;27.0;94.0;0.99915;3.38;0.77;9.4;0
7.9;0.545;0.06;3.6917619112377773;0.087;27.0;61.0;0.9965;3.36;0.67;10.7;0
6.9;0.54;0.04;3.0;0.077;7.0;27.0;0.9987;3.6559730465252054;0.91;9.4;0
